10000; 0.0058389; 173943; 100710; 294375
20000; 0.0073727; 388921; 216156; 639975
30000; 0.0104532; 582978; 337407; 968722
40000; 0.0145851; 850297; 453987; 1366399
50000; 0.0185465; 1099319; 580149; 1753247
60000; 0.0220563; 1276921; 711486; 2072239
70000; 0.0258046; 1578118; 830595; 2505654
80000; 0.0295873; 1746949; 969621; 2821013
90000; 0.0333341; 1979373; 1106634; 3198041
100000; 0.0371753; 2260806; 1233099; 3617190
110000; 0.0421477; 2452281; 1375695; 3956979
120000; 0.0461089; 2842271; 1496556; 4482047
130000; 0.0485737; 2922557; 1645260; 4713993
140000; 0.0542159; 3183290; 1786230; 5121818
150000; 0.0581794; 3381581; 1931001; 5470251
160000; 0.0648466; 4116529; 2039031; 6330529
170000; 0.066807; 4157529; 2175735; 6516317
180000; 0.0711424; 4408408; 2328036; 6922238
190000; 0.074155; 4495938; 2480547; 7165400
200000; 0.078909; 4742418; 2627658; 7562274
210000; 0.0834918; 5126949; 2734791; 8069587
220000; 0.0869613; 5227270; 2906910; 8340706
230000; 0.0951201; 5973411; 3004920; 9204735
240000; 0.0956771; 5926894; 3159828; 9315688
250000; 0.101389; 6086518; 3314985; 9633062
260000; 0.103414; 6297887; 3465090; 9996833
270000; 0.112932; 6632695; 3611703; 10484097
280000; 0.111844; 6622890; 3785694; 10641880
290000; 0.117833; 7058532; 3897627; 11206876
300000; 0.131546; 7255626; 4064148; 11568030
10; 2.6e-06; 35; 30; 103
